ID,Name (in Spanish),Name (in English),Ingredients of a standard portion for a 3-6 year-old child (in Spanish),Ingredients of a standard portion for a 3-6 year-old child (in English),Ingredients of a standard portion for a 7-12 year-old child (in Spanish),Ingredients of a standard portion for a 7-12 year-old child (in English),Ingredients of a standard portion for a 13-15 year-old child (in Spanish),Ingredients of a standard portion for a 13-15 year-old child (in English),Ingredients of a standard portion for a 16-18 year-old child (in Spanish),Ingredients of a standard portion for a 16-18 year-old child (in English),Ingredients of a standard portion for an adult (in Spanish),Ingredients of a standard portion for an adult (in English),Recipe (in Spanish),Recipe (in English),Tip (in Spanish),Tip (in English),Kcal,Protein,Fat,Carbohydrates,Dish type,For Autumn,For Winter,For Spring,For Summer,White meat,Red meat,Pork,Fish or seafood,Pulses (Legumes),Dairy,Eggs,Pasta,Rice,Tubers,Soups,Cereals,Fruit,Nuts,Raw vegetables,Cooked vegetables,Protein mix,Unique,Semiunique,Vegetables for semi,Red,Green,White,Yellow,Purple,Multicolor,No color,For proposals,For school
1,Naranja,Orange,"Naranja,100,g;","Orange,100,g;","Naranja,200,g;","Orange,200,g;","Naranja,200,g;","Orange,200,g;","Naranja,200,g;","Orange,200,g;","Naranja,200,g;","Orange,200,g;",,,,,65.52,1.08,0.72,11.56,fruit,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Mandarina,Tangerine,"Mandarina,95,g;","Tangerine,95,g;","Mandarina,190,g;","Tangerine,190,g;","Mandarina,190,g;","Tangerine,190,g;","Mandarina,190,g;","Tangerine,190,g;","Mandarina,190,g;","Tangerine,190,g;",,,,,59.28,0.87,0.25,13.34,fruit,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,Uvas,Grapes,"Uvas,35,g; ","Grapes,35,g;","Uvas,70,g; ","Grapes,70,g;","Uvas,70,g; ","Grapes,70,g;","Uvas,70,g; ","Grapes,70,g;","Uvas,70,g; ","Grapes,70,g;",,,,,51.38,0.53,0.35,11.62,fruit,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,Plátano,Banana,"Plátano,95,g;","Banana,95,g;","Plátano,160,g;","Banana,160,g;","Plátano,160,g;","Banana,160,g;","Plátano,160,g;","Banana,160,g;","Plátano,160,g;","Banana,160,g;",,,,,114.03,2.13,1.38,15.49,fruit,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,Manzana,Apple,"Manzana,100,g;","Apple,180,g;","Manzana,180,g;","Apple,180,g;","Manzana,180,g;","Apple,180,g;","Manzana,180,g;","Apple,180,g;","Manzana,180,g;","Apple,180,g;",,,,,89.14,0.41,0.41,19.21,fruit,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,Pera,Pear,"Pera,102,g;","Pear,102,g;","Pera,150,g;","Pear,150,g;","Pera,150,g;","Pear,150,g;","Pera,150,g;","Pear,150,g;","Pera,150,g;","Pear,150,g;",,,,,81.37,0.68,0.38,15.21,fruit,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,Piña,Pineapple,"Piña,100,g;","Pineapple,100,g;","Piña,200,g;","Pineapple,200,g;","Piña,200,g;","Pineapple,200,g;","Piña,200,g;","Pineapple,200,g;","Piña,200,g;","Pineapple,200,g;",,,,,181,2.12,1,39.4,fruit,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,Kiwi,Kiwi,"Kiwi,80,g;","Kiwi,80,g;","Kiwi,150,g;","Kiwi,150,g;","Kiwi,150,g;","Kiwi,150,g;","Kiwi,150,g;","Kiwi,150,g;","Kiwi,150,g;","Kiwi,150,g;",,,,,78.95,1.15,0.78,14.36,fruit,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,Ciruela,Plum,"Ciruela,80,g;","Plum,80,g;","Ciruela,160,g;","Plum,160,g;","Ciruela,160,g;","Plum,160,g;","Ciruela,160,g;","Plum,160,g;","Ciruela,160,g;","Plum,160,g;",,,,,79.47,1.01,0.45,15.24,fruit,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,Fresas,Strawberries,"Fresas,80,g;","Strawberries,80,g;","Fresas,150,g;","Strawberries,150,g;","Fresas,150,g;","Strawberries,150,g;","Fresas,150,g;","Strawberries,150,g;","Fresas,150,g;","Strawberries,150,g;",,,,,57.9,0.95,0.75,9.05,fruit,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,Moras,Blackberries,"Moras,70,g;","Blackberries,70,g;","Moras,140,g;","Blackberries,140,g;","Moras,140,g;","Blackberries,140,g;","Moras,140,g;","Blackberries,140,g;","Moras,140,g;","Blackberries,140,g;",,,,,66.22,1.58,0.98,9.14,fruit,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,Cerezas,Cherries,"Cerezas,80,g;","Cherries,80,g;","Cerezas,150,g;","Cherries,150,g;","Cerezas,150,g;","Cherries,150,g;","Cerezas,150,g;","Cherries,150,g;","Cerezas,150,g;","Cherries,150,g;",,,,,41.4,0.15,0.75,2.34,fruit,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,Melocotón,Peach,"Melocotón,100,g;","Peach,100,g;","Melocotón,180,g;","Peach,180,g;","Melocotón,180,g;","Peach,180,g;","Melocotón,180,g;","Peach,180,g;","Melocotón,180,g;","Peach,180,g;",,,,,78.16,1.14,0.83,15.7,fruit,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,Albaricoque,Apricot,"Albaricoque,80,g;","Apricot,80,g;","Albaricoque,150,g;","Apricot,150,g;","Albaricoque,150,g;","Apricot,150,g;","Albaricoque,150,g;","Apricot,150,g;","Albaricoque,150,g;","Apricot,150,g;",,,,,68.85,1.22,0.75,13.52,fruit,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,Sandía,Watermelon,"Sandía,80,g;","Watermelon,80,g;","Sandía,150,g;","Watermelon,150,g;","Sandía,150,g;","Watermelon,150,g;","Sandía,150,g;","Watermelon,150,g;","Sandía,150,g;","Watermelon,150,g;",,,,,25.67,0.46,0.33,5.5,fruit,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,Pan integral,Whole-wheat bread,"Pan integral,30,g;","Whole-wheat bread,30,g;","Pan integral,30,g;","Whole-wheat bread,30,g;","Pan integral,60,g;","Whole-wheat bread,60,g;","Pan integral,60,g;","Whole-wheat bread,60,g;","Pan integral,60,g;","Whole-wheat bread,60,g;",,,,,146.4,5.03,1.08,26.58,bread,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,Tostada tipo cracker de trigo integral,Whole-wheat cracker toast,"Tostada tipo cracker de trigo integral,20,g;","Whole-wheat cracker toast,20,g;","Tostada tipo cracker de trigo integral,20,g;","Whole-wheat cracker toast,20,g;","Tostada tipo cracker de trigo integral,40,g;","Whole-wheat cracker toast,40,g;","Tostada tipo cracker de trigo integral,40,g;","Whole-wheat cracker toast,40,g;","Tostada tipo cracker de trigo integral,40,g;","Whole-wheat cracker toast,40,g;",,,,,180,3.1,4.8,30,bread,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,Biscote de pan integral o multicereales,Whole-wheat rusk,"Biscote de pan integral o multicereales,20,g;","Whole-wheat rusk,20,g;","Biscote de pan integral o multicereales,20,g;","Whole-wheat rusk,20,g;","Biscote de pan integral o multicereales,40,g;","Whole-wheat rusk,40,g;","Biscote de pan integral o multicereales,40,g;","Whole-wheat rusk,40,g;","Biscote de pan integral o multicereales,40,g;","Whole-wheat rusk,40,g;",,,,,157.2,4.68,2.47,26.8,bread,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
