ID,Name (in Turkey),Name (in English),Ingredients of a standard portion for a 3-6 year-old child (in Turkey),Ingredients of a standard portion for a 3-6 year-old child (in English),Ingredients of a standard portion for a 7-12 year-old child (in Turkey),Ingredients of a standard portion for a 7-12 year-old child (in English),Ingredients of a standard portion for a 13-15 year-old child (in Turkey),Ingredients of a standard portion for a 13-15 year-old child (in English),Ingredients of a standard portion for a 16-18 year-old child (in Turkey),Ingredients of a standard portion for a 16-18 year-old child (in English),Ingredients of a standard portion for an adult (in Turkey),Ingredients of a standard portion for an adult (in English),Recipe (in Turkey),Recipe (in English),Tip (in Turkey),Tip (in English),Kcal,Protein,Fat,Carbohydrates,Dish type,For Autumn,For Winter,For Spring,For Summer,White meat,Red meat,Pork,Fish or seafood,Pulses (Legumes),Dairy,Eggs,Pasta,Rice,Tubers,Soups,Cereals,Fruit,Nuts,Raw vegetables,Cooked vegetables,Protein mix,Unique,Semiunique,Vegetables for semi,Red,Green,White,Yellow,Purple,Multicolor,No color,For proposals,For school
210,Menemen,Menemen,,,"Kuru soğan, 30 g 
Domates, 55 g
Sivri biber, 20 g
Yumurta, 50 g
Zeytinyağı, 7 g
Tuz, 1 g","Onion, 30 g
Tomatoes,55 g
Green chili pepper, 20 g
Egg, 50 g
Olive oil, 7 g
Salt, 1g","Kuru soğan, 30 g 
Domates,80g
Sivri biber, 30 g
Yumurta, 50 g
Zeytinyağı, 7 g
Tuz, 1 g","Onion, 30 g
Tomatoes,80 g
Green chili pepper, 30 g
Egg, 50 g
Olive oil, 7 g
Salt, 1g","Kuru soğan, 40 g 
Domates,110 g
Sivri biber, 50 g
Yumurta, 50 g
Zeytinyağı, 7 g
Tuz, 1 g","Onion, 40 g
Tomatoes,110 g
Green chili pepper, 50 g
Egg, 50 g
Olive oil, 7 g
Salt, 1g","Kuru soğan, 40 g 
Domates,110 g
Sivri biber, 50 g
Yumurta, 50 g
Zeytinyağı, 7 g
Tuz, 1 g","Onion, 38 g
Tomatoes,110 g
Green chili pepper, 50 g
Egg, 50 g
Olive oil, 7 g
Salt, 1g","Soğanları, yemeklik doğrayın. Biberleri ince doğrayın. Tavaya yağ ve doğranmış soğanları, biberleri ve tuzu koyarak biraz pişirin. Domatesleri yıkayıp rendeleyin. Soğanlı biberli karışıma domatesleri ilave edin. Sebzeler pişene kadar pişirmeye devam edin. Pişmiş sebzelerin üzerine yumurtaları kırın, karıştırın ve pişmesini bekleyin","Chop the onions. Finely chop the peppers Add oil and chopped onions, peppers and salt to the pan and cook for a bit. Wash and grate the tomatoes Add the tomatoes to the onion-pepper mixture. Continue cooking until the vegetables are cooked. Crack the eggs on the cooked vegetables, mix and wait for it to cook",,,180,9,12,8.5,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
211,Yumurtalı Ekmek,Bread with egg,,,"Yumurta, 50 g
Süt, 10 g
Ekmek, 25 g
Zeytinyağı, 5 g
Tuz, 1 g","Egg, 50 g
Milk, 10 g
Bread, 25 g
Olive oil, 5 g
Salt, 1g","Yumurta, 50 g
Süt, 10 g
Ekmek, 25 g
Zeytinyağı, 5 g
Tuz, 1 g","Egg, 50 g
Milk, 10 g
Bread, 25 g
Olive oil, 5 g
Salt, 1g","Yumurta, 50 g
Süt, 10 g
Ekmek, 50 g
Zeytinyağı, 5 g
Tuz, 1 g","Egg, 50 g
Milk, 10 g
Bread, 50 g
Olive oil, 5 g
Salt, 1g","Yumurta, 50 g
Süt, 10 g
Ekmek, 50 g
Zeytinyağı, 5 g
Tuz, 1 g","Egg, 50 g
Milk, 10 g
Bread, 50 g
Olive oil, 5 g
Salt, 1g","Yumurta, süt ve tuzu karıştırın
Ekmekleri yumurtalı sosa batırın
Fırında pişirme kağıdı üzerinde kızarana kadar pişirin.","Mix eggs, milk and salt
Dip bread in egg sauce
Bake in the oven until golden brown on baking paper.",,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
212,"Meyveli Yulaf Bar

",Fruit oatmeal bar,,,"Hindistan cevizi, 4 g
Elma, 13 g
Yulaf ezmesi, 25 g
Bal, 3 g
Süt, 12 g
Muz, 21 g","Coconut powder, 4 g
Apple, 13 g
Oatmeal, 25 g
Honey, 3 g
Milk, 12 g
Banana, 21g","Hindistan cevizi, 4 g
Elma, 13 g
Yulaf ezmesi, 25 g
Bal, 3 g
Süt, 12 g
Muz, 21 g","Coconut powder, 4 g
Apple, 13 g
Oatmeal, 25 g
Honey, 3 g
Milk, 12 g
Banana, 21g","Hindistan cevizi, 4 g
Elma, 13 g
Yulaf ezmesi, 25 g
Bal, 3 g
Süt, 12 g
Muz, 21 g","Coconut powder, 4 g
Apple, 13 g
Oatmeal, 25 g
Honey, 3 g
Milk, 12 g
Banana, 21g","Hindistan cevizi, 4 g
Elma, 13 g
Yulaf ezmesi, 25 g
Bal, 3 g
Süt, 12 g
Muz, 21 g","Coconut powder, 4 g
Apple, 13 g
Oatmeal, 25 g
Honey, 3 g
Milk, 12 g
Banana, 21g",,,,,150,4,4,23,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
213,Sandviç,Sandwich,,,"Domates, 40 g
Salatalık, 40 g
Beyaz peynir, 30 g 
Marul, 10 g 
Tam buğday ekmeği, 40 g
Zeytin ezmesi, 3 g","Tomato, 40 g
Cucumber, 40 g
Feta cheese, 30 g
Lettuce, 10 g
Whole wheat bread, 40 g
Olive paste, 3 g","Domates, 50 g
Salatalık, 50 g
Beyaz peynir, 40 g 
Marul, 10 g 
Tam buğday ekmeği, 50 g
Zeytin ezmesi, 3 g","Tomato, 50 g
Cucumber, 50 g
Feta cheese, 40 g
Lettuce, 10 g
Whole wheat bread, 50 g
Olive paste, 3 g","Domates, 50 g
Salatalık, 50 g
Beyaz peynir, 40 g 
Marul, 10 g 
Tam buğday ekmeği, 50 g
Zeytin ezmesi, 3 g","Tomato, 50 g
Cucumber, 50 g
Feta cheese, 40 g
Lettuce, 10 g
Whole wheat bread, 50 g
Olive paste, 3 g","Domates, 50 g
Salatalık, 50 g
Beyaz peynir, 40 g 
Marul, 10 g 
Tam buğday ekmeği, 75 g
Zeytin ezmesi, 3 g","Tomato, 50 g
Cucumber, 50 g
Feta cheese, 40 g
Lettuce, 10 g
Whole wheat bread, 75 g
Olive paste, 3 g",,,,,220,10.5,7.5,27,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
214,Portakal Suyu,Orange juice,,,100 ml,100 ml,150 ml,150 ml,200 ml,200 ml,200 ml,200 ml,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
215,Süt,Milk,,,150 ml,150 ml,200 ml,200 ml,250 ml,250 ml,250 ml,250 ml,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
216,Ayran,Ayran,,,100 ml,100 ml,150 ml,150 ml,200 ml,200 ml,200 ml,200 ml,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
217,Tavuklu Arpa Şehriye Salatası,Chicken Barley Noodle Salad,,,"Arpa Şehriye
Zeytinyağı
Karabiber
Tuz
Su
Limon
Salatalık Turşusu
Maydonoz
Yeşil Soğan
Kırmızı Biber
Tavuk Göğsü
Kuru Soğan","Barley Noodle
Olive oil
Black pepper
Salt
Water
Lemon
Pickled Cucumbers
Parsley
Scallion
Red pepper
Chicken breast
Onion","Arpa Şehriye
Zeytinyağı
Karabiber
Tuz
Su
Limon
Salatalık Turşusu
Maydonoz
Yeşil Soğan
Kırmızı Biber
Tavuk Göğsü
Kuru Soğan","Barley Noodle
Olive oil
Black pepper
Salt
Water
Lemon
Pickled Cucumbers
Parsley
Scallion
Red pepper
Chicken breast
Onion","Arpa Şehriye
Zeytinyağı
Karabiber
Tuz
Su
Limon
Salatalık Turşusu
Maydonoz
Yeşil Soğan
Kırmızı Biber
Tavuk Göğsü
Kuru Soğan","Barley Noodle
Olive oil
Black pepper
Salt
Water
Lemon
Pickled Cucumbers
Parsley
Scallion
Red pepper
Chicken breast
Onion","Arpa Şehriye
Zeytinyağı
Karabiber
Tuz
Su
Limon
Salatalık Turşusu
Maydonoz
Yeşil Soğan
Kırmızı Biber
Tavuk Göğsü
Kuru Soğan","Barley Noodle
Olive oil
Black pepper
Salt
Water
Lemon
Pickled Cucumbers
Parsley
Scallion
Red pepper
Chicken breast
Onion",,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
218,Kabak Mücver,Zucchini hash,,,"Zeytinyağı
Tuz 
Karabiber
Dereotu
Maydanoz
Yeşil Soğan
Un Karışımı
Yumurta
Kabak
Kuru Nane","Olive oil
Salt
Black pepper
Dill
Parsley
Scallion
Flour Mixture
Egg
Courgette
Dried Mint","Zeytinyağı
Tuz 
Karabiber
Dereotu
Maydanoz
Yeşil Soğan
Un Karışımı
Yumurta
Kabak
Kuru Nane","Olive oil
Salt
Black pepper
Dill
Parsley
Scallion
Flour Mixture
Egg
Courgette
Dried Mint","Zeytinyağı
Tuz 
Karabiber
Dereotu
Maydanoz
Yeşil Soğan
Un Karışımı
Yumurta
Kabak
Kuru Nane","Olive oil
Salt
Black pepper
Dill
Parsley
Scallion
Flour Mixture
Egg
Courgette
Dried Mint","Zeytinyağı
Tuz 
Karabiber
Dereotu
Maydanoz
Yeşil Soğan
Un Karışımı
Yumurta
Kabak
Kuru Nane","Olive oil
Salt
Black pepper
Dill
Parsley
Scallion
Flour Mixture
Egg
Courgette
Dried Mint",,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
219,Yoğurt,Yogurt ,,,100 g,100 g,150 g,150 g,200 g,200 g,200 g,200 g,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
220,Muz,Banana,,,90 g,90 g,120 g,120 g,150 g,150 g,170 g,170 g,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
