ID,Name (in Spanish),Name (in English),Type,Country,For Autumn,For Winter,For Spring,For Summer,Dish ID #1,Dish ID #2,Dish ID #3,Dish ID #4,Dish ID #5
1,Taza de leche semidesnatada con tortitas de arroz integral y plátano ,Cup of semi-skimmed milk with brown puffed rice pancakes and banana,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,28,21,4,,
2,"Macedonia de frutas y semillas, y yogur natural","Fruit and seed salad, and plain yoghurt",Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,35,23,,,
3,"Fajita integral con aguacate y queso fresco, y zumo de naranja natural","Whole wheat fajita with avocado and cheese, and natural orange juice",Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,39,1,,,
4,Porridge con fruta de temporada,Porridge with seasonal fruits,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,33,,,,
5,"Bol de cereales integrales con leche (o bebida vegetal), y moras","Whole grain cereal bowl with milk (or vegetable drink), and blackberries",Breakfast,Spain,FALSE,FALSE,TRUE,TRUE,37,11,,,
6,"Yogur líquido desnatado, y tostada de pan integral con hummus y aguacate","Fat-free fermented milk, and wholemeal toast with hummus and alvocado",Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,27,31,,,
7,"Taza de leche semidesnatada, y tostadas de pan integral con mantequilla de cacahuete y plátano","Cup of semi-skimmed milk, and whole wheat toast with peanut butter and banana ",Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,28,38,,,
8,Kefir con manzana y nueces,Kefir with apple and walnuts,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,41,,,,
9,"Tostada integral con aceite de oliva y queso fresco, y melocotón","Wholemeal toast with olive oil and fresh cheese, and peach",Breakfast,Spain,FALSE,FALSE,FALSE,TRUE,32,13,,,
10,"Taza de leche semidesnatada, y pancakes con fresas y chocolate negro","Cup of semi-skimmed milk, and pancakes whole-wheat with strawberries and dark chocolate",Breakfast,Spain,FALSE,FALSE,TRUE,TRUE,28,40,,,
11,"Rebanada de pan integral con tortilla francesa, yogur natural y mandarina","Wholemeal bread slice with French omelette, plain yogur and mandarin",Breakfast,Spain,TRUE,TRUE,FALSE,FALSE,16,43,23,2,
12,"Vaso de kefir, y biscotes multicereales con kiwi","Glass of kefir, and multigrain rusk with kiwi",Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,26,18,8,,
13,"Taza de leche semidesnatada, y biscote integral con falafel y uvas","Cup of semi-skimmed milk, and whole-grain rusk with falafel and grapes",Breakfast,Spain,TRUE,TRUE,FALSE,FALSE,28,18,117,3,
14,"Yogur griego natural con trozos de albaricoque fresco, y tortitas de arroz inflado integral ","Greek-style yoghurt with fresh apricot chunks, and brown puffed rice pancakes",Breakfast,Spain,FALSE,FALSE,FALSE,TRUE,25,14,21,,
