Id,Name (in Greek),Name (in English),Type,Country,For Autumn,For Winter,For Spring,For Summer,Dish ID #1,Dish ID #2,Dish ID #3,Dish ID #4,Dish ID #5,Dish ID #6,Dish ID #7,Dish ID #8,Dish ID #9,Dish ID #10,,
2,Πανκεικς με βρόμη και μπανάνα με μία κούπα γάλα,Banana oat pancakes with a cup of milk,Breakfast,Greece,TRUE,TRUE,TRUE,TRUE,13,15,,,,,,,,,,
3,Ισπανική τορτίγια,Spanish tortilla,Breakfast,Greece,TRUE,TRUE,TRUE,TRUE,27,,,,,,,,,,,
4,Πόριτζ,Porridge,Breakfast,Greece,TRUE,TRUE,TRUE,TRUE,19,,,,,,,,,,,
5,Τραγανό αβοκάντο με βραστό αυγό,Crispy avocando with boiled egg,Breakfast,Greece,TRUE,TRUE,TRUE,TRUE,21,,,,,,,,,,,
6,Λουκάνικα με αυγά και πατάτες,Sausages with eggs and potatoes,Breakfast,Greece,TRUE,TRUE,TRUE,TRUE,25,,,,,,,,,,,
7,"Ψωμί πολύσπορο, ταχίνι με μέλι, και γάλα","Wholemeal bread, tahini with honey, and milk",Breakfast,Greece,TRUE,TRUE,TRUE,TRUE,26,33,35,,,,,,,,,
8,Κέικ βανίλιας με μία κούπα γάλα,Vanilla cake with a cup of milk,Breakfast,Greece,TRUE,TRUE,TRUE,TRUE,14,13,,,,,,,,,,
22,Μπάρα δημητριακών με ένα μήλο,Tahini granola bar with an apple,Morning_Snack,Greece,TRUE,TRUE,FALSE,FALSE,17,18,,,,,,,,,,
23,Κουλουράκια με σταφίδες,Cookies with raisins,Morning_Snack,Greece,TRUE,TRUE,TRUE,TRUE,28,,,,,,,,,,,
24,Κριτσίνια με σουσάμι,Breadsticks with sesame seeds,Morning_Snack,Greece,TRUE,TRUE,TRUE,TRUE,31,,,,,,,,,,,
25,Κέικ βανίλιας με γιαούρτι,Vanilla cake with yogurt,Morning_Snack,Greece,TRUE,TRUE,TRUE,TRUE,34,,,,,,,,,,,
26,Κριτσίνια με σουσάμι με αυγό,Breadsticks with sesame seeds and an egg,Morning_Snack,Greece,TRUE,TRUE,TRUE,TRUE,31,22,,,,,,,,,,
32,Μουσακάς με Χωριάτικη Σαλάτα,Greek moussaka and greek salad,Lunch,Greece,TRUE,FALSE,FALSE,TRUE,10,11,,,,,,,,,,
33,Φασολάδα με τυρί και ψωμί,Bean soup with cheese and bread.,Lunch,Greece,TRUE,TRUE,TRUE,FALSE,23,24,26,,,,,,,,,
34,Μοσχαράκι με πατάτες στη χύτρα ταχύτητας,Beef with potatoes in the pressure cooker,Lunch,Greece,TRUE,TRUE,TRUE,TRUE,36,,,,,,,,,,,
35,Τσιπούρα στον φούρνο με χωριάτικη σαλάτα,Baked sea bream with greek salad,Lunch,Greece,TRUE,FALSE,TRUE,TRUE,12,11,,,,,,,,,,
36,Τραγανά ρεβίθια στον φούρνο,Crispy chickpeas in the oven,Lunch,Greece,TRUE,TRUE,TRUE,TRUE,39,,,,,,,,,,,
37,Μαροκινό κοτόπουλο,Moroccan Chicken,Lunch,Greece,TRUE,TRUE,TRUE,TRUE,30,,,,,,,,,,,
62,Καρύδια με μπανάνα,Walnuts with banana,Afternoon_Snack,Greece,TRUE,TRUE,TRUE,TRUE,29,20,,,,,,,,,,
63,Καρύδια με μήλο,Walnuts with apple,Afternoon_Snack,Greece,TRUE,TRUE,FALSE,FALSE,29,18,,,,,,,,,,
64,Μπάρα δημητριακών με ένα μήλο,Tahini granola bar with an apple,Afternoon_Snack,Greece,TRUE,TRUE,FALSE,FALSE,17,18,,,,,,,,,,
66,Κέικ βανίλιας με γιαούρτι,Vanilla cake with yogurt,Afternoon_Snack,Greece,TRUE,TRUE,TRUE,TRUE,34,,,,,,,,,,,
72,"Σαλάτα με αποξηραμένα σύκα, καραμελωμένα καρύδια και dressing ροδιού
","Green salad with dried figs, caramelized walnuts, and pomegranate dressing",Dinner,Greece,TRUE,TRUE,TRUE,TRUE,32,,,,,,,,,,,
73,"Τσιπούρα στον φούρνο με σαλάτα με αποξηραμένα σύκα, καραμελωμένα καρύδια και dressing ροδιού
","Baked sea bream with green salad with dried figs, caramelized walnuts, and pomegranate dressing",Dinner,Greece,TRUE,TRUE,TRUE,TRUE,12,32,,,,,,,,,,
74,Χωριάτικη σαλάτα με μία φέτα ψωμί ολικής αλέσεως,Greek salad with a slice of whole-wheat bread,Dinner,Greece,TRUE,FALSE,TRUE,TRUE,11,26,,,,,,,,,,
75,Μακαρονοσαλάτα με λαχανικά,Pasta salad with vegetables,Dinner,Greece,TRUE,TRUE,TRUE,TRUE,16,,,,,,,,,,,
76,Αυγά βραστά με αβοκάντο και τυρί,Boiled eggs with avocado and cheese,Dinner,Greece,TRUE,TRUE,TRUE,TRUE,37,38,24,,,,,,,,,
77,Wrap με γλυκόξινο κοτόπουλο,Wrap with sweet and sour chicken,Dinner,Greece,FALSE,FALSE,FALSE,TRUE,40,,,,,,,,,,,
78,Εύκολη πίτσα με αραβική πίτα,Easy Arabic pita pizza,Dinner,Greece,TRUE,TRUE,TRUE,TRUE,41,,,,,,,,,,,
